Ano,Órgão Orçamentário,Função,Grupo de Despesa,Resultado Primário,Subfunção,Projeto de Lei,Dotação Inicial,Dotação Atual,Empenhado,Liquidado,Pago
Total,,,,,,1.450.445.433.311,1.320.014.525.616,1.418.354.560.225,1.328.682.771.366,1.135.211.696.137,1.102.747.377.012
2011,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,0 - Financeira,122 - Administração Geral,3.171.677.325,3.171.677.325,3.304.253.833,3.208.513.729,3.208.513.729,3.198.127.077
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,368 - Educação Básica,644.000.000,644.000.000,630.000.000,591.216.005,591.216.005,591.216.005
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,847 - Transferências para a Educação Básica,11.937.334.197,11.937.334.197,12.113.300.308,12.091.353.574,9.804.370.684,9.804.361.901
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,532.411.883,532.411.883,624.571.258,457.115.455,320.867.329,320.402.888
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,123 - Administração Financeira,2.000.000,2.000.000,2.050.000,0,0,0
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,107.000.000,107.000.000,117.000.000,111.000.000,111.000.000,111.000.000
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,63.690.939,64.678.918,77.775.645,50.467.338,40.348.489,38.970.774
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,27.000.000,27.000.000,29.700.000,29.572.137,27.264.747,26.725.786
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,33.468.050,33.468.050,34.270.550,33.420.251,33.420.251,33.420.251
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,107.772.952,111.972.952,136.612.116,80.932.354,63.536.346,59.314.504
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,303 - Suporte Profilático e Terapêutico,2.600.000,2.600.000,2.600.000,2.600.000,1.370.739,1.369.271
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,2.897.813.696,2.923.118.610,3.029.526.244,2.576.096.830,2.170.680.413,2.131.950.103
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,7.179.359.313,7.324.672.594,7.875.850.836,6.947.443.027,5.690.844.164,5.617.154.031
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,300.000.000,300.000.000,265.650.000,47.847.098,2.147.098,2.147.098
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,366 - Educação de Jovens e Adultos,811.100.000,811.100.000,429.485.975,338.608.075,256.620.263,256.620.263
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,368 - Educação Básica,3.552.754.702,3.592.375.702,4.273.073.660,3.690.380.380,2.522.511.809,2.393.471.854
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,571 - Desenvolvimento Científico,48.500.000,48.500.000,84.058.012,53.643.075,51.376.775,46.400.126
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,183.187.708,183.187.708,180.337.897,180.192.683,156.081.188,156.080.316
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,847 - Transferências para a Educação Básica,159.292.419,196.159.999,120.931.000,47.286.221,37.530.197,37.530.197
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,3 - Primária discricionária, PAC, considerada no cálculo do RP,368 - Educação Básica,0,0,92.574.150,17.546.392,2.207.707,2.207.707
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,3 - Primária discricionária, PAC, considerada no cálculo do RP,847 - Transferências para a Educação Básica,0,0,191.119.192,73.143.259,32.271.032,32.271.032
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,1 - Primária obrigatória, considerada no cálculo do RP,847 - Transferências para a Educação Básica,546.439.153,546.439.153,527.555.801,518.241.973,518.093.579,517.842.198
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,193.390.538,193.390.538,256.175.799,121.636.335,63.734.368,63.614.085
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,353.100,353.100,505.910,254.193,70.252,70.252
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,85.614.451,90.729.451,250.449.197,108.895.912,15.247.589,11.083.971
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,1.917.579.996,2.110.655.082,2.755.305.699,1.859.300.789,444.688.373,421.455.657
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,2.326.260.298,3.253.292.119,4.752.316.832,2.797.630.111,677.324.140,638.803.359
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,368 - Educação Básica,1.453.219.214,1.748.334.214,923.125.113,201.222.519,38.245.172,37.873.847
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,571 - Desenvolvimento Científico,159.191.478,159.191.478,159.013.691,132.798.549,45.871.254,38.872.277
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,613.500,613.500,1.049.775,53.376,48.711,48.711
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,847 - Transferências para a Educação Básica,870.465.771,1.162.713.239,2.030.611.021,1.700.597.183,702.584.026,702.189.216
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,365 - Educação Infantil,1.782.000.000,1.784.000.000,2.445.400.000,1.784.000.000,692.287.710,692.287.710
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,368 - Educação Básica,1.063.800.000,1.063.800.000,2.956.930.006,2.566.824.186,1.588.431.612,1.585.026.458
2012,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,847 - Transferências para a Educação Básica,0,0,987.892.722,987.874.077,908.779.277,905.147.455
2012,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,55.000.000,55.000.000,0,0,0,0
2012,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,0,0,1.047.076,0,0,0
2012,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,7.117.000,7.117.000,21.808.333,20.450.000,15.529.248,13.879.248
2012,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,10.915.000,10.915.000,59.888.084,31.396.357,28.581.273,28.581.273
2012,74902 - Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,123 - Administração Financeira,141.423.000,138.453.117,205.453.117,176.535.870,115.949.394,115.949.394
2012,74902 - Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação,12 - Educação,5 - Inversões Financeiras,0 - Financeira,694 - Serviços Financeiros,2.164.688.457,2.164.688.457,7.249.200.857,5.180.918.061,3.258.530.248,3.258.530.248
2013,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,0 - Financeira,122 - Administração Geral,3.353.187.580,3.353.187.580,4.033.620.604,3.918.218.828,3.904.336.237,3.821.122.907
2013,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,285.485.177,285.485.177,359.357.165,334.254.718,333.718.203,332.626.178
2013,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,3.264.868.088,3.264.868.088,3.330.664.688,3.270.913.780,3.264.104.666,3.259.017.217
2013,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,363 - Ensino Profissional,2.867.088.406,2.867.088.406,4.050.492.113,4.012.509.273,4.008.927.059,3.991.814.154
2013,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,364 - Ensino Superior,11.039.894.469,11.039.894.469,13.782.031.547,13.614.674.439,13.609.427.236,13.533.596.199
2013,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,368 - Educação Básica,151.700.044,151.700.044,195.401.263,194.195.235,194.195.235,194.170.678
